Geography,Name,Level,Year,property_crime_rate,violent_crime_rate,cd,Housing_Price_2023
NYC,New York City,City,2023,9.0,5.3,606,1962.1088601967504
BX,The Bronx,Boro,2023,10.7,9.2,602,1617.049647468334
BK,Brooklyn,Boro,2023,7.1,4.6,603,2849.417657012418
MN,Manhattan,Boro,2023,14.0,5.5,601,2789.377332740288
QN,Queens,Boro,2023,7.3,3.9,604,1837.3271914348936
SI,Staten Island,Boro,2023,4.8,2.7,605,1404.455839371952
BX 01,Mott Haven/Melrose,Community District,2023,14.0,16.8,201,3944.765620103869
BX 02,Hunts Point/Longwood,Community District,2023,16.5,15.0,202,2671.9753227448905
BX 03,Morrisania/Crotona,Community District,2023,11.8,12.2,203,3350.3039493068245
BX 04,Highbridge/Concourse,Community District,2023,11.2,11.2,204,2261.8956346934574
BX 05,Fordham/University Heights,Community District,2023,8.0,9.3,205,2791.4101887586085
BX 06,Belmont/East Tremont,Community District,2023,12.2,13.1,206,2676.615271855705
BX 07,Kingsbridge Heights/Bedford,Community District,2023,8.3,7.9,207,1622.0095874544431
BX 08,Riverdale/Fieldston,Community District,2023,10.6,3.1,208,1802.95904738194
BX 09,Parkchester/Soundview,Community District,2023,10.2,7.3,209,1476.0305159981203
BX 10,Throgs Neck/Co-op City,Community District,2023,9.7,3.7,210,1595.1016621248689
BX 11,Morris Park/Bronxdale,Community District,2023,11.0,5.6,211,1729.6668846085904
BX 12,Williamsbridge/Baychester,Community District,2023,9.9,8.3,212,1398.3976023887185
BK 01,Greenpoint/Williamsburg,Community District,2023,10.8,3.5,301,6716.210966775518
BK 02,Fort Greene/Brooklyn Heights,Community District,2023,12.7,5.9,302,6706.113883454686
BK 03,Bedford Stuyvesant,Community District,2023,7.9,6.3,303,7493.772596611472
BK 04,Bushwick,Community District,2023,9.7,7.0,304,4607.097119992959
BK 05,East New York/Starrett City,Community District,2023,9.8,9.0,305,2148.4362450014605
BK 06,Park Slope/Carroll Gardens,Community District,2023,7.8,3.1,306,7977.96304198731
BK 07,Sunset Park,Community District,2023,6.6,3.3,307,4574.28478693417
BK 08,Crown Heights/Prospect Heights,Community District,2023,6.9,6.2,308,4594.990205002904
BK 09,South Crown Heights/Lefferts Gardens,Community District,2023,5.7,4.8,309,3389.0623077719047
BK 10,Bay Ridge/Dyker Heights,Community District,2023,4.7,1.6,310,2438.852230298405
BK 11,Bensonhurst,Community District,2023,5.2,1.9,311,2629.132242583996
BK 12,Borough Park,Community District,2023,3.9,1.5,312,4131.94762080266
BK 13,Coney Island,Community District,2023,6.3,5.1,313,2293.3694052454266
BK 14,Flatbush/Midwood,Community District,2023,4.5,3.1,314,2755.4939346649
BK 15,Sheepshead Bay,Community District,2023,6.1,2.5,315,2430.7608671100093
BK 16,Brownsville,Community District,2023,6.2,9.7,316,3414.189577782318
BK 17,East Flatbush,Community District,2023,6.3,5.9,317,1802.369940195488
BK 18,Flatlands/Canarsie,Community District,2023,6.3,3.0,318,1552.1877593555396
MN 01,Financial District,Community District,2023,13.6,3.7,101,6335.500047028046
MN 02,Greenwich Village/Soho,Community District,2023,32.0,6.4,102,4792.700022138788
MN 03,Lower East Side/Chinatown,Community District,2023,14.1,5.3,103,3931.1131687366383
MN 04,Clinton/Chelsea,Community District,2023,16.4,6.0,104,2070.7568378400924
MN 05,Midtown,Community District,2023,73.3,15.9,105,1820.587763297039
MN 06,Stuyvesant Town/Turtle Bay,Community District,2023,8.1,2.2,106,2646.9683195198904
MN 07,Upper West Side,Community District,2023,7.6,2.4,107,3376.0736281847253
MN 08,Upper East Side,Community District,2023,9.0,1.8,108,2374.481346938124
MN 09,Morningside Heights/Hamilton,Community District,2023,9.9,6.2,109,6854.420820087678
MN 10,Central Harlem,Community District,2023,10.0,8.5,110,6546.181943025979
MN 11,East Harlem,Community District,2023,10.8,10.3,111,4240.906592445778
MN 12,Washington Heights/Inwood,Community District,2023,8.7,5.6,112,3970.988376452418
QN 01,Astoria,Community District,2023,7.7,3.9,401,2642.870078702332
QN 02,Woodside/Sunnyside,Community District,2023,9.3,3.7,402,2088.237596771422
QN 03,Jackson Heights,Community District,2023,7.2,4.6,403,2010.751305287376
QN 04,Elmhurst/Corona,Community District,2023,8.2,6.5,404,1825.967443588321
QN 05,Ridgewood/Maspeth,Community District,2023,7.1,2.9,405,2037.2169846737552
QN 06,Rego Park/Forest Hills,Community District,2023,6.0,1.4,406,2043.5638646222444
QN 07,Flushing/Whitestone,Community District,2023,8.9,2.9,407,1888.6371866055115
QN 08,Hillcrest/Fresh Meadows,Community District,2023,7.4,2.2,408,1852.3338615369223
QN 09,Kew Gardens/Woodhaven,Community District,2023,5.0,3.6,409,2086.2577170951927
QN 10,South Ozone Park/Howard Beach,Community District,2023,7.6,4.5,410,1763.8290520380554
QN 11,Bayside/Little Neck,Community District,2023,9.0,1.3,411,1803.3913944684743
QN 12,Jamaica/Hollis,Community District,2023,6.5,6.3,412,1875.7651492580533
QN 13,Queens Village,Community District,2023,6.2,3.0,413,1570.556696107598
QN 14,Rockaway/Broad Channel,Community District,2023,4.6,4.2,414,1707.03652862352
SI 01,St. George/Stapleton,Community District,2023,5.2,4.7,501,1479.7144231310087
SI 02,South Beach/Willowbrook,Community District,2023,5.2,1.7,502,1422.7398440186273
SI 03,Tottenville/Great Kills,Community District,2023,3.9,1.1,503,1364.0277050648851
