CensusTract,County,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IMPUTED
36005000200,Bronx,Bronx,5403,2659,2744,75.8,2.3,16.0,0.0,4.2,3639,72034.0,False
36005000400,Bronx,Bronx,5915,2896,3019,62.7,3.6,30.7,0.0,0.3,4100,74836.0,False
36005001600,Bronx,Bronx,5879,2558,3321,65.1,1.6,32.4,0.0,0.0,3536,32312.0,False
36005001900,Bronx,Bronx,2591,1206,1385,55.4,9.0,29.0,0.0,2.1,1557,37936.0,False
36005002000,Bronx,Bronx,8516,3301,5215,61.1,1.6,31.1,0.3,3.3,5436,18086.0,False
36005002300,Bronx,Bronx,4774,2130,2644,62.3,0.2,36.5,1.0,0.0,3056,14479.0,False
36005002500,Bronx,Bronx,5355,2338,3017,76.5,1.5,18.9,0.0,3.0,2509,17226.0,False
36005002701,Bronx,Bronx,3016,1375,1641,68.0,0.0,31.2,0.0,0.0,1456,20153.0,False
36005002702,Bronx,Bronx,4778,2427,2351,71.3,1.6,26.2,0.0,0.0,2365,17147.0,False
36005002800,Bronx,Bronx,5299,2292,3007,23.0,0.2,71.4,0.0,1.7,4056,49529.0,False
36005003100,Bronx,Bronx,1466,769,697,72.3,0.6,24.6,0.0,2.2,647,37250.0,False
36005003300,Bronx,Bronx,3912,1824,2088,65.6,1.0,30.6,1.7,0.0,1945,19923.0,False
36005003500,Bronx,Bronx,3948,1921,2027,73.5,0.7,25.9,0.0,0.0,2191,26541.0,False
36005003800,Bronx,Bronx,1193,542,651,53.1,1.8,42.7,0.0,0.8,846,37685.0,False
36005003900,Bronx,Bronx,6614,3520,3094,82.0,1.9,16.1,0.0,0.0,2569,25990.0,False
36005004001,Bronx,Bronx,1419,675,744,51.3,11.2,10.8,0.0,21.6,936,48056.0,False
36005004100,Bronx,Bronx,6476,3125,3351,75.8,0.5,23.4,0.0,0.2,3809,18636.0,False
36005004200,Bronx,Bronx,7120,3147,3973,46.5,5.1,47.0,0.0,0.8,5248,25741.0,False
36005004300,Bronx,Bronx,6057,3094,2963,74.1,0.4,23.4,0.0,0.0,3032,21448.0,False
36005004400,Bronx,Bronx,4754,2081,2673,60.6,2.4,35.2,0.0,1.7,3153,22719.0,False
36005004600,Bronx,Bronx,1869,845,1024,59.7,3.0,36.6,0.4,0.0,1182,40950.0,False
36005004800,Bronx,Bronx,3999,2154,1845,71.7,1.2,23.8,0.0,2.4,1499,30301.0,False
36005005001,Bronx,Bronx,4885,2313,2572,58.4,0.0,36.8,0.0,0.0,2288,27456.0,False
36005005002,Bronx,Bronx,5650,2867,2783,73.2,0.4,17.1,1.4,0.2,1995,28039.0,False
36005005100,Bronx,Bronx,5653,2256,3397,69.7,0.1,28.1,2.1,0.0,3360,18633.0,False
36005005200,Bronx,Bronx,2277,1028,1249,69.7,0.5,26.7,0.0,2.9,1344,17756.0,False
36005005300,Bronx,Bronx,3727,1514,2213,44.1,3.0,50.7,0.5,0.2,2053,17719.0,False
36005005400,Bronx,Bronx,6219,3163,3056,71.7,0.0,21.0,0.0,1.8,2699,27380.0,False
36005005600,Bronx,Bronx,2468,1084,1384,66.4,1.0,24.4,0.0,1.8,1296,17771.0,False
36005005902,Bronx,Bronx,3131,1460,1671,70.4,1.8,23.1,2.6,1.3,1829,38542.0,False
36005006000,Bronx,Bronx,1256,591,665,69.4,4.1,21.4,0.0,1.8,679,41190.0,False
36005006100,Bronx,Bronx,3706,1484,2222,16.8,2.1,77.1,0.0,0.5,3232,48298.0,False
36005006200,Bronx,Bronx,7610,3790,3820,69.6,0.0,30.2,0.0,0.2,3811,24480.0,False
36005006300,Bronx,Bronx,4431,2394,2037,69.1,3.7,20.6,0.8,5.0,2523,32064.0,False
36005006400,Bronx,Bronx,3590,1755,1835,54.8,8.3,31.8,0.0,1.1,2288,30726.0,False
36005006500,Bronx,Bronx,5487,2557,2930,60.5,4.8,32.7,0.0,1.4,2858,21384.0,False
36005006700,Bronx,Bronx,7421,3353,4068,66.3,1.8,29.4,0.5,0.0,3192,21016.0,False
36005006800,Bronx,Bronx,3288,1866,1422,59.1,3.1,29.5,0.0,4.2,1474,47232.0,False
36005006900,Bronx,Bronx,8554,3740,4814,58.8,2.5,36.1,0.0,1.3,4349,19741.0,False
36005007000,Bronx,Bronx,4568,2172,2396,64.1,2.3,25.0,0.7,5.1,2211,34191.0,False
36005007100,Bronx,Bronx,2547,1080,1467,60.7,1.1,36.4,0.0,0.9,1783,38289.0,False
36005007200,Bronx,Bronx,5822,2924,2898,50.4,6.2,15.3,0.0,22.2,2631,37634.0,False
36005007300,Bronx,Bronx,3761,1866,1895,63.0,2.0,33.9,0.1,0.0,1690,18358.0,False
36005007400,Bronx,Bronx,3635,1744,1891,72.8,1.5,25.5,0.0,0.2,2675,44455.0,False
36005007500,Bronx,Bronx,5599,2072,3527,58.8,1.8,38.5,0.9,0.0,3307,25452.0,False
36005007600,Bronx,Bronx,5587,2681,2906,63.7,3.3,19.4,1.5,9.3,2686,33465.0,False
36005007700,Bronx,Bronx,1933,879,1054,70.8,2.5,26.3,0.4,0.0,1118,26486.0,False
36005007800,Bronx,Bronx,6518,3023,3495,66.2,4.4,15.8,0.0,11.7,3619,30437.0,False
36005007900,Bronx,Bronx,6420,3118,3302,77.6,0.1,21.6,0.0,0.0,3204,24278.0,False
36005008300,Bronx,Bronx,6882,3348,3534,79.1,0.4,15.6,0.0,4.2,3333,19818.0,False
36005008400,Bronx,Bronx,2289,1069,1220,60.8,1.5,30.1,0.9,3.4,1538,60135.0,False
36005008500,Bronx,Bronx,5959,3196,2763,77.4,1.0,19.5,0.0,1.0,2988,27174.0,False
36005008600,Bronx,Bronx,3874,1668,2206,69.2,0.4,24.9,0.0,4.9,2596,23045.0,False
36005008700,Bronx,Bronx,6002,2843,3159,76.9,2.2,20.5,0.0,0.0,3246,29188.0,False
36005008900,Bronx,Bronx,3438,1661,1777,79.9,1.6,16.6,0.5,1.4,1672,20849.0,False
36005009000,Bronx,Bronx,3476,1681,1795,66.5,3.3,24.6,0.0,4.7,2354,27000.0,False
36005009200,Bronx,Bronx,5622,2578,3044,60.9,2.8,14.2,0.0,17.8,3260,35227.0,False
36005009300,Bronx,Bronx,6517,3675,2842,72.6,1.2,25.8,0.1,0.0,3353,30159.0,False
36005009600,Bronx,Bronx,2562,1255,1307,57.3,6.8,20.2,0.0,14.9,1565,41250.0,False
36005009800,Bronx,Bronx,5041,2165,2876,70.1,2.8,21.9,0.0,2.9,3570,57438.0,False
36005011502,Bronx,Bronx,4566,2058,2508,67.4,0.5,30.8,0.1,1.1,2087,21765.0,False
36005011700,Bronx,Bronx,1603,787,816,72.1,2.1,25.9,0.0,0.0,991,25483.0,False
