LocationID,pickup_count,dropoff_count,total_count,latitude,longitude
1,513,11744,12257,40.6057,-73.8713
2,3,5,8,40.86521003,-73.8435548
3,86,291,377,40.72599,-73.98057
4,4819,14720,19539,40.5564,-74.1735
5,36,62,98,40.5927,-74.07
6,51,109,160,40.7644,-73.9235
7,2042,11194,13236,40.7785,-73.9228
8,20,79,99,40.7578,-73.7834
9,51,473,524,40.6738,-73.786
10,1249,3780,5029,40.60437,-74.00485
11,56,294,350,40.7031,-74.016
12,1735,2132,3867,40.71131,-74.0159
13,22282,28828,51110,40.6264,-74.0299
14,294,2631,2925,40.7814,-73.7782
15,42,482,524,40.7586,-73.7654
16,68,694,762,40.6872,-73.9418
17,520,4396,4916,40.8701,-73.8857
18,151,509,660,40.72304,-73.71546
19,118,452,570,40.8535,-73.8894
20,84,390,474,40.61247,-73.99364
21,107,453,560,40.59173066,-73.97044893
22,132,620,752,40.6157,-74.1792
23,62,176,238,40.7989,-73.9698
24,9727,12685,22412,40.68372,-73.98179
25,1624,6247,7871,40.635,-73.9921
26,142,1066,1208,40.5609,-73.9155
27,2,80,82,40.70213116,-73.81062276
28,394,1487,1881,40.57795,-73.9601
29,113,534,647,40.6158,-73.8213
30,2,27,29,40.85419,-73.87146
31,21,230,251,40.85008,-73.86683
32,135,316,451,40.6959,-73.9956
33,1835,9720,11555,40.723,-73.95309
34,79,451,530,40.6652,-73.9125
35,324,745,1069,40.697,-73.917
36,372,2573,2945,40.6958,-73.9171
37,523,4253,4776,40.69254,-73.73185
38,131,725,856,40.64364,-73.90069
39,430,1564,1994,40.6802,-74.00163
40,528,3278,3806,40.8089,-73.9482
41,8953,22295,31248,40.7987,-73.9523
42,3393,14199,17592,40.76748004,-73.97069005
43,62456,46598,109054,40.51128,-74.25057
44,35,45,80,40.7158,-73.997
45,5335,10297,15632,40.8468,-73.7875
46,10,91,101,40.84699,-73.89793
47,146,393,539,40.7638,-73.9918
48,102354,94352,196706,40.6897,-73.9125
49,653,5441,6094,40.7629,-73.994
50,24928,41837,66765,40.87389,-73.82944
51,431,673,1104,40.6865,-73.9962
52,747,2443,3190,40.7864,-73.839
53,69,524,593,42.44711829,-73.65450644
54,78,852,930,40.5755,-73.9707
55,228,652,880,40.745,-73.8643
56,271,1072,1343,40.745,-73.8643
57,7,83,90,40.8392,-73.8197
58,9,124,133,40.84,-73.8953
59,3,30,33,40.83359,-73.88837
60,98,252,350,40.6681032,-73.9447994
61,908,5920,6828,40.6681032,-73.9447994
62,296,1723,2019,40.6837,-73.8796
63,117,687,804,40.76863,-73.74734
64,44,504,548,40.69292385,-73.98576778
65,2526,5759,8285,40.702,-73.981
66,1144,4968,6112,40.6215,-74.0096
67,83,567,650,40.742352,-74.00621
68,100243,97268,197511,40.83318,-73.91399
69,328,1237,1565,40.76439,-73.87402
70,17103,2300,19403,40.63655378,-73.92102231
71,226,891,1117,40.6507878,-73.91772054
72,312,869,1181,40.75566,-73.81028
73,39,325,364,40.795,-73.939
74,8159,25694,33853,40.795,-73.939
75,22292,44125,66417,40.66643,-73.88269
76,553,1787,2340,40.65150683,-73.88543898
77,137,472,609,40.84539,-73.89114
78,164,424,588,40.7265,-73.9815
79,90746,77687,168433,40.708,-73.9399
80,927,4879,5806,40.95641,-73.81533
81,119,296,415,40.738,-73.8801
82,511,2214,2725,40.74501567,-73.87827357
83,175,1019,1194,40.52196,-74.19862
84,3,34,37,40.6493,-73.958
85,169,749,918,40.60401,-73.75249
86,198,664,862,40.708,-74.011
87,20451,28689,49140,40.7077,-74.0083
88,10512,13978,24490,40.64031,-73.96183
89,530,3365,3895,40.7401,-73.9903
90,61798,53698,115496,40.62114,-73.93528
91,308,1023,1331,40.7675,-73.8331
92,242,2691,2933,40.74612,-73.85279
93,832,1585,2417,40.85946,-73.90212
94,87,247,334,40.7181,-73.8448
95,577,4940,5517,40.70415,-73.8458
96,12,118,130,40.69319,-73.97168
97,1538,5053,6591,40.74162,-73.78299
98,63,534,597,40.5643,-74.1863
99,3,6,9,40.7544,-73.99185
100,62924,52840,115764,40.748,-73.71324
101,78,397,475,40.7017,-73.8842
102,81,728,809,40.6895,-74.0449
105,3,1,4,40.67236,-73.99027
106,206,1235,1441,40.7368,-73.9845
107,80173,73961,154134,40.59757,-73.96542
108,114,274,388,40.5543,-74.1563
109,3,48,51,40.5492,-74.1238
111,6,29,35,40.7305,-73.9515
112,805,8209,9014,40.73211001,-73.99648007
113,52193,48802,100995,40.73211001,-73.99648007
114,51319,36716,88035,40.62333006,-74.0909571
115,7,63,70,40.8253,-73.9476
116,2693,8507,11200,40.588069,-73.811972
117,186,408,594,40.6013,-74.1073
118,6,84,90,40.66932,-74.89559
119,185,712,897,40.8538,-73.9257
120,21,173,194,40.73033,-73.80994
121,197,781,978,40.7112,-73.7625
122,106,336,442,40.6005,-73.9566
123,99,642,741,40.65483,-73.84602
124,135,843,978,40.7266,-74.0075
125,19080,18751,37831,40.8094,-73.8803
126,112,367,479,40.616,-73.74661
127,221,2515,2736,40.86987,-73.92094
128,28,229,257,40.7494,-73.88756
129,864,5457,6321,40.70179,-73.80853
130,703,2182,2885,40.718,-73.7838
131,169,836,1005,40.63983,-73.77874
132,198671,47959,246630,40.6385,-73.9732
133,119,1016,1135,40.70865,-73.82891
134,378,1338,1716,40.73002,-73.8234
135,203,1144,1347,40.87239,-73.90154
136,170,489,659,40.73955,-73.97708
137,41600,47822,89422,40.77013003,-73.86703007
138,130255,50048,180303,40.6776,-73.7448
139,152,750,902,40.7662,-73.9602
140,75356,76707,152063,40.7708,-73.9567
141,90857,100766,191623,40.7742,-73.9849
142,125561,106670,232231,40.77677997,-73.98296006
143,41238,55845,97083,40.722542,-73.9951515
144,34725,35530,70255,40.74124696,-73.94262762
145,3504,11086,14590,40.74976787,-73.93823323
146,1871,3542,5413,40.8248,-73.8916
147,88,374,462,40.715,-73.9843
148,40346,38529,78875,40.6069,-73.948
149,98,558,656,40.5782,-73.9389
150,54,285,339,40.797045,-73.969725
151,30415,34269,64684,40.81694,-73.95583
152,2389,5155,7544,40.8761,-73.9103
153,36,176,212,40.591,-73.8906
154,48,213,261,40.6136599,-73.90662639
155,208,803,1011,40.6368,-74.1588
156,6,67,73,40.72729,-73.89544
157,328,1257,1585,40.741,-74.0076
